Product,Channel,Accuracy_MAPE,Accuracy_WAPE,Delta_pp
Flavored Water 500ml,E-commerce,-0.5671936839518275,0.46779332750593794,103.49870114577655
Energy Drink 350ml,E-commerce,-0.3618442009198384,0.37369918134959046,73.55433822694289
Flavored Water 500ml,Traditional,0.6046210315136626,0.7605616873943122,15.594065588064954
Natural Juice 1L,Supermarkets,0.674157413437695,0.7548004074678338,8.064299403013885
Flavored Water 500ml,Supermarkets,0.6700901930614132,0.7446270865786918,7.453689351727865
Cereal Bar 50g,Traditional,0.4924715728005581,0.5360377960788075,4.356622327824944
Whole Grain Crackers 200g,Supermarkets,0.7178432268754029,0.7510595919983293,3.321636512292636
Energy Drink 350ml,Supermarkets,0.7736974927357048,0.7985176553940816,2.482016265837683
Whole Grain Crackers 200g,Traditional,0.4697897317863512,0.4918182002492454,2.202846846289419
Cereal Bar 50g,E-commerce,0.8324748457079191,0.8482890182784281,1.5814172570508989
Energy Drink 350ml,Traditional,0.8165070289682094,0.8311925761729757,1.4685547204766336
Whole Grain Crackers 200g,E-commerce,0.7967288266417164,0.8058711936991894,0.9142367057472955
Natural Juice 1L,E-commerce,0.6457646537773756,0.6454649395522176,-0.02997142251579543
Natural Juice 1L,Traditional,0.7788113770676375,0.7773572121020176,-0.14541649656198974
Cereal Bar 50g,Supermarkets,0.7819548533100994,0.7787747129872888,-0.3180140322810554
