Product,Channel,n_test,Accuracy_pooled,Accuracy_sku_level,Accuracy_delta_pp,Recommendation
Cereal Bar 50g,Traditional,23,0.3417915155976018,0.4924715728005581,15.06800572029563,SKU-level
Whole Grain Crackers 200g,Traditional,23,0.3369533659789309,0.4697897317863512,13.28363658074203,SKU-level
Flavored Water 500ml,Traditional,23,0.4962038207995685,0.6046210315136626,10.841721071409417,SKU-level
Flavored Water 500ml,Supermarkets,23,0.6213150444226967,0.6700901930614132,4.877514863871646,SKU-level
Whole Grain Crackers 200g,E-commerce,23,0.7620278470586288,0.7967288266417164,3.47009795830876,SKU-level
Natural Juice 1L,Supermarkets,23,0.6400315434874195,0.674157413437695,3.4125869950275445,SKU-level
Natural Juice 1L,E-commerce,23,0.6130229001424351,0.6457646537773756,3.2741753634940474,SKU-level
Energy Drink 350ml,Traditional,23,0.8071637437527828,0.8165070289682094,0.93432852154266,SKU-level
Energy Drink 350ml,Supermarkets,23,0.7689453560493368,0.7736974927357048,0.47521366863679804,SKU-level
Cereal Bar 50g,Supermarkets,23,0.7780617047650875,0.7819548533100994,0.3893148545011882,SKU-level
Cereal Bar 50g,E-commerce,23,0.8291334315853199,0.8324748457079191,0.334141412259914,SKU-level
Natural Juice 1L,Traditional,23,0.780168649787498,0.7788113770676375,-0.1357272719860525,Pooled
Whole Grain Crackers 200g,Supermarkets,23,0.7525731277929377,0.7178432268754029,-3.4729900917534806,Pooled
Flavored Water 500ml,E-commerce,23,-0.49056189854251087,-0.5671936839518275,-7.663178540931659,Pooled (SKU-level unstable)
Energy Drink 350ml,E-commerce,23,-0.18997254912023087,-0.3618442009198384,-17.18716517996075,Pooled (SKU-level unstable)
