Product,Channel,Model,Accuracy_MAPE,Accuracy_WAPE
Cereal Bar 50g,E-commerce,LightGBM,0.8427542408428528,0.8580094357674631
Cereal Bar 50g,Supermarkets,LightGBM,0.7822611872645198,0.7803486284440007
Cereal Bar 50g,Traditional,GAM,0.5999610404421265,0.5742635734926014
Energy Drink 350ml,E-commerce,GAM,-0.22839932334004098,0.4424821220651173
Energy Drink 350ml,Supermarkets,GAM,0.75445512789918,0.8063988675975522
Energy Drink 350ml,Traditional,GAM,0.8522713985638588,0.8609425746919732
Flavored Water 500ml,E-commerce,LightGBM,-0.5167852578428953,0.48045440293355635
Flavored Water 500ml,Supermarkets,LightGBM,0.6653753753894325,0.7398291275286812
Flavored Water 500ml,Traditional,GAM,0.6453813650174351,0.7642186446387058
Natural Juice 1L,E-commerce,Pooled_LightGBM,0.6130229001424351,0.6229309224362667
Natural Juice 1L,Supermarkets,LightGBM,0.6799487861931102,0.7579662545538344
Natural Juice 1L,Traditional,GAM,0.7775603848976291,0.8060910959980352
Whole Grain Crackers 200g,E-commerce,LightGBM,0.7960451592413185,0.8055407635734642
Whole Grain Crackers 200g,Supermarkets,Pooled_LightGBM,0.7525731277929377,0.7840222631697343
Whole Grain Crackers 200g,Traditional,LightGBM,0.45873412605166697,0.47617194540284324
