Product,Channel,Accuracy_original,n,Accuracy_com_Lag52,Delta_pp
Flavored Water 500ml,Traditional,0.6046210315136626,23,0.6764847356781983,7.186370416453569
Whole Grain Crackers 200g,Traditional,0.4697897317863512,23,0.5331243408301486,6.33346090437974
Energy Drink 350ml,Traditional,0.8165070289682094,23,0.8397554987878968,2.3248469819687423
Cereal Bar 50g,E-commerce,0.8324748457079191,23,0.846448943879468,1.3974098171548932
Whole Grain Crackers 200g,E-commerce,0.7967288266417164,23,0.805634126955372,0.8905300313655551
Energy Drink 350ml,Supermarkets,0.7736974927357048,23,0.7751146132308661,0.14171204951612948
Natural Juice 1L,Supermarkets,0.674157413437695,23,0.6475778266778719,-2.657958675982308
Cereal Bar 50g,Supermarkets,0.7819548533100994,23,0.7497202428662928,-3.22346104438066
Natural Juice 1L,Traditional,0.7788113770676375,23,0.7461632887567506,-3.2648088310886836
Flavored Water 500ml,Supermarkets,0.6700901930614132,23,0.6355530596697234,-3.4537133391689734
Energy Drink 350ml,E-commerce,-0.3618442009198384,23,-0.4162331770314669,-5.438897611162852
Cereal Bar 50g,Traditional,0.4924715728005581,23,0.4300466439771875,-6.242492882337059
Natural Juice 1L,E-commerce,0.6457646537773756,23,0.5830418208085051,-6.272283296887049
Flavored Water 500ml,E-commerce,-0.5671936839518275,23,-0.6348157814802438,-6.76220975284163
Whole Grain Crackers 200g,Supermarkets,0.7178432268754029,23,0.6275149666714136,-9.032826020398932
