Product,Channel,Accuracy_objective_regression,n,Accuracy_objective_mape,Delta_pp
Flavored Water 500ml,E-commerce,-0.5671936839518275,23,-0.16377187154174,40.342181241008745
Energy Drink 350ml,E-commerce,-0.3618442009198384,23,-0.1141841513743378,24.76600495455006
Whole Grain Crackers 200g,Traditional,0.4697897317863512,23,0.6841856261844794,21.439589439812824
Cereal Bar 50g,Traditional,0.4924715728005581,23,0.7046317795882736,21.216020678771553
Whole Grain Crackers 200g,Supermarkets,0.7178432268754029,23,0.7789940353962262,6.1150808520823325
Natural Juice 1L,Supermarkets,0.674157413437695,23,0.725503322938315,5.134590950062002
Flavored Water 500ml,Supermarkets,0.6700901930614132,23,0.7066744553288247,3.6584262267411516
Flavored Water 500ml,Traditional,0.6046210315136626,23,0.6326870914473375,2.8066059933674836
Energy Drink 350ml,Traditional,0.8165070289682094,23,0.8288693308180697,1.2362301849860313
Cereal Bar 50g,Supermarkets,0.7819548533100994,23,0.7830802862520376,0.11254329419382314
Energy Drink 350ml,Supermarkets,0.7736974927357048,23,0.7740531558668456,0.0355663131140882
Whole Grain Crackers 200g,E-commerce,0.7967288266417164,23,0.7911147563132164,-0.5614070328500032
Cereal Bar 50g,E-commerce,0.8324748457079191,23,0.8257339767469305,-0.6740868960988577
Natural Juice 1L,Traditional,0.7788113770676375,23,0.752543643312264,-2.62677337553735
Natural Juice 1L,E-commerce,0.6457646537773756,23,0.5383691987861283,-10.739545499124725
