Product,Channel,n_test,Accuracy_pooled,Accuracy_sku_level,Accuracy_delta_pp,Recommendation
Flavored Water 500ml,E-commerce,23,-0.47229475829549594,-0.1678631343775414,30.443162391795454,Pooled (SKU-level unstable)
Energy Drink 350ml,Supermarkets,23,0.7106563075041865,0.7863757031378498,7.571939563366326,SKU-level
Flavored Water 500ml,Supermarkets,23,0.5709926162366686,0.6288015004209127,5.780888418424402,SKU-level
Flavored Water 500ml,Traditional,23,0.5712990557099688,0.6283724080319697,5.707335232200094,SKU-level
Cereal Bar 50g,Supermarkets,23,0.7627183193301671,0.803381129598383,4.066281026821594,SKU-level
Energy Drink 350ml,E-commerce,23,-0.4623312832759643,-0.43066037927918877,3.1670903996775523,Pooled (SKU-level unstable)
Energy Drink 350ml,Traditional,23,0.79891320969711,0.8194879490077263,2.0574739310616263,SKU-level
Whole Grain Crackers 200g,E-commerce,23,0.7829039636916636,0.7980267422118554,1.5122778520191837,SKU-level
Cereal Bar 50g,E-commerce,23,0.8220601018364818,0.8305939001099951,0.8533798273513304,SKU-level
Whole Grain Crackers 200g,Traditional,23,0.45869889217700754,0.4659032065534098,0.7204314376402232,SKU-level
Natural Juice 1L,Supermarkets,23,0.6900553845304502,0.6800921382885288,-0.9963246241921464,Pooled
Natural Juice 1L,E-commerce,23,0.6120812329095973,0.60065029259139,-1.1430940318207239,Pooled
Natural Juice 1L,Traditional,23,0.7730391656664147,0.7531407277190442,-1.9898437947370562,Pooled
Cereal Bar 50g,Traditional,23,0.5247015761002789,0.5030902012418531,-2.161137485842579,Pooled
Whole Grain Crackers 200g,Supermarkets,23,0.7302235817790386,0.7044741015219719,-2.5749480257066693,Pooled
