Product,Channel,Acc_LGBM_Constraint,Sign_pct_LGBM_Constraint,Acc_LGBM_MapeObj,Sign_pct_LGBM_MapeObj,Acc_GAM,Sign_pct_GAM,Acc_XGBoost,Sign_pct_XGBoost,Acc_LGBM_L2Weighted,Sign_pct_LGBM_L2Weighted
Cereal Bar 50g,E-commerce,0.8427542408428528,0.0,0.8257339767469305,47.368421052631575,0.8256970603859195,0.0,0.8218220557275987,0.0,0.8350617119267125,0.0
Cereal Bar 50g,Supermarkets,0.7822611872645198,0.0,0.7830802862520376,52.63157894736842,0.7557618330410254,0.0,0.7876550613637522,0.0,0.7820877206338451,0.0
Cereal Bar 50g,Traditional,0.48769755097729317,0.0,0.7046317795882736,42.10526315789473,0.5999610404421699,0.0,0.4906278786588527,0.0,0.4497708816131867,0.0
Energy Drink 350ml,E-commerce,-0.35672987457531447,0.0,-0.1141841513743378,52.63157894736842,-0.22839932334376845,26.31578947368421,-0.5828934016225811,0.0,-1.050290476370067,0.0
Energy Drink 350ml,Supermarkets,0.7658171909381604,0.0,0.7740531558668456,31.57894736842105,0.7544551278996778,0.0,0.7762288242330166,0.0,0.7656460423949727,0.0
Energy Drink 350ml,Traditional,0.8192838483411815,0.0,0.8288693308180697,63.1578947368421,0.852271398546403,0.0,0.8088630165335968,0.0,0.8281428035269376,0.0
Flavored Water 500ml,E-commerce,-0.5167852578428953,0.0,-0.16377187154174,31.57894736842105,-0.9989482202309741,0.0,-0.49407821442862976,0.0,-0.5133929877905827,0.0
Flavored Water 500ml,Supermarkets,0.6653753753894325,0.0,0.7066744553288247,52.63157894736842,0.4405627063297952,68.42105263157895,0.6446059578973166,0.0,0.6577351393932518,0.0
Flavored Water 500ml,Traditional,0.6127778462027147,0.0,0.6326870914473375,36.84210526315789,0.6453813650174273,0.0,0.603128835292306,0.0,0.6048426530680808,0.0
Natural Juice 1L,E-commerce,0.6124638162855537,0.0,0.5383691987861283,47.368421052631575,0.3381745698356793,5.263157894736842,0.5706261093868255,0.0,0.5574207469967816,0.0
Natural Juice 1L,Supermarkets,0.6799487861931102,0.0,0.725503322938315,31.57894736842105,0.6721454470233669,0.0,0.6880115251534475,0.0,0.6587730637945884,0.0
Natural Juice 1L,Traditional,0.7866465329209182,0.0,0.752543643312264,31.57894736842105,0.7775603848977142,0.0,0.7838026758726541,0.0,0.7699107759188917,0.0
Whole Grain Crackers 200g,E-commerce,0.7960451592413185,0.0,0.7911147563132164,52.63157894736842,0.7924290740843863,0.0,0.7891926396848785,0.0,0.7943756195199096,0.0
Whole Grain Crackers 200g,Supermarkets,0.7183987227057267,0.0,0.7789940353962262,52.63157894736842,0.7928155089396842,42.10526315789473,0.7447530177091815,0.0,0.7309551701804052,0.0
Whole Grain Crackers 200g,Traditional,0.45873412605166697,0.0,0.6841856261844794,31.57894736842105,0.509155632481939,42.10526315789473,0.4345087911241994,0.0,0.4418020069303631,0.0
